date,price_usd,price_eur,volume_24h,market_cap
2025-12-07,88722.56000000,,36700581888.00,
2025-12-06,89272.38000000,,37994042405.00,
2025-12-05,89387.76000000,,63256398633.00,
2025-12-04,92141.63000000,,64538402681.00,
2025-12-03,93527.80000000,,77650204986.00,
2025-12-02,91350.20000000,,78546798211.00,
2025-12-01,86321.57000000,,87962894424.00,
2025-11-30,90394.31000000,,38497902869.00,
2025-11-29,90851.76000000,,37921773455.00,
2025-11-28,90919.27000000,,60895830289.00,
2025-11-27,91285.38000000,,57040622845.00,
2025-11-26,90518.37000000,,66496301869.00,
2025-11-25,87341.89000000,,64837343545.00,
2025-11-24,88270.56000000,,74433896110.00,
2025-11-23,86805.01000000,,58083435576.00,
2025-11-22,84648.36000000,,40793099246.00,
2025-11-21,85090.69000000,,129157506112.00,
2025-11-20,86631.90000000,,97970645638.00,
2025-11-19,91465.99000000,,80350354656.00,
2025-11-18,92948.88000000,,101333569062.00,
2025-11-17,92093.88000000,,94186165724.00,
2025-11-16,94177.08000000,,71086235862.00,
2025-11-15,95549.15000000,,38500716654.00,
2025-11-14,94397.79000000,,114346441890.00,
2025-11-13,99697.49000000,,101546815416.00,
2025-11-12,101663.19000000,,64347179408.00,
2025-11-11,102997.47000000,,71130078574.00,
2025-11-10,105996.59000000,,69585887229.00,
2025-11-09,104719.64000000,,59679243013.00,
2025-11-08,102282.12000000,,51446691095.00,
2025-11-07,103372.41000000,,92168030081.00,
2025-11-06,101301.29000000,,63932752861.00,
2025-11-05,103891.84000000,,77584934804.00,
2025-11-04,101590.52000000,,110967184773.00,
2025-11-03,106547.52000000,,72852006359.00,
2025-11-02,110639.63000000,,34284209459.00,
2025-11-01,110064.02000000,,25871668762.00,
2025-10-31,109556.16000000,,60090359560.00,
2025-10-30,108305.55000000,,69673964814.00,
2025-10-29,110055.30000000,,62192043469.00,
2025-10-28,112956.16000000,,64528066504.00,
2025-10-27,114119.33000000,,61761358733.00,
2025-10-26,114472.45000000,,41708524143.00,
2025-10-25,111641.73000000,,24707667305.00,
2025-10-24,111033.92000000,,48160816980.00,
2025-10-23,110069.73000000,,54944076060.00,
2025-10-22,107688.59000000,,80807013218.00,
2025-10-21,108476.89000000,,101194375480.00,
2025-10-20,110588.93000000,,63507793085.00,
2025-10-19,108666.71000000,,47657008953.00,
2025-10-18,107198.27000000,,37779905278.00,
2025-10-17,106467.79000000,,99703051669.00,
2025-10-16,108186.04000000,,87306423067.00,
2025-10-15,110783.16000000,,72574132855.00,
2025-10-14,113118.66000000,,92212917403.00,
2025-10-13,115271.08000000,,71582026739.00,
2025-10-12,115169.77000000,,93710414091.00,
2025-10-11,110807.88000000,,110236934340.00,
2025-10-10,113214.37000000,,153125018868.00,
2025-10-09,121705.59000000,,74653009425.00,
2025-10-08,123354.87000000,,65354305286.00,
2025-10-07,121451.38000000,,76149412513.00,
2025-10-06,124752.53000000,,72568881188.00,
2025-10-05,123513.48000000,,73689317763.00,
2025-10-04,122425.43000000,,36769171735.00,
2025-10-03,122266.53000000,,83941392228.00,
2025-10-02,120681.26000000,,71415163912.00,
2025-10-01,118648.93000000,,71328680132.00,
2025-09-30,114056.09000000,,58986330258.00,
2025-09-29,114400.38000000,,60000147466.00,
2025-09-28,112122.64000000,,33371048505.00,
2025-09-27,109681.95000000,,26308042910.00,
2025-09-26,109712.83000000,,57738288949.00,
2025-09-25,109049.29000000,,75528654284.00,
2025-09-24,113328.63000000,,48044595085.00,
2025-09-23,112014.50000000,,47211853279.00,
2025-09-22,112748.51000000,,70684158591.00,
2025-09-21,115306.09000000,,22495852193.00,
2025-09-20,115721.96000000,,22864449614.00,
2025-09-19,115688.86000000,,38828473971.00,
2025-09-18,117137.20000000,,49457272032.00,
2025-09-17,116468.51000000,,60528025996.00,
2025-09-16,116843.19000000,,45781744593.00,
2025-09-15,115444.88000000,,52937859416.00,
2025-09-14,115407.66000000,,32798036057.00,
2025-09-13,115950.51000000,,34549454947.00,
2025-09-12,116101.58000000,,54785725894.00,
2025-09-11,115507.54000000,,45685065332.00,
2025-09-10,113955.36000000,,56377473784.00,
2025-09-09,111530.55000000,,45984480722.00,
2025-09-08,112071.43000000,,40212813407.00,
2025-09-07,111167.62000000,,24618007520.00,
2025-09-06,110224.70000000,,21500719036.00,
2025-09-05,110650.98000000,,60241647677.00,
2025-09-04,110723.60000000,,60131132901.00,
2025-09-03,111723.21000000,,61119643565.00,
2025-09-02,111200.59000000,,74776999491.00,
2025-09-01,109250.59000000,,66870372995.00,
2025-08-31,108236.71000000,,47986191770.00,
2025-08-30,108808.07000000,,51486264208.00,
2025-08-29,108410.84000000,,77843379644.00,
2025-08-28,112544.80000000,,58860155962.00,
2025-08-27,111222.06000000,,62137056409.00,
2025-08-26,111802.66000000,,69396320317.00,
2025-08-25,110124.35000000,,85706860190.00,
2025-08-24,113458.43000000,,73961489632.00,
2025-08-23,115374.33000000,,55377142586.00,
2025-08-22,116874.09000000,,82528088240.00,
2025-08-21,112419.03000000,,57817883700.00,
2025-08-20,114274.74000000,,67993811526.00,
2025-08-19,112831.18000000,,71657600353.00,
2025-08-18,116252.31000000,,72787808090.00,
2025-08-17,117453.06000000,,45852169525.00,
2025-08-16,117491.35000000,,48036922378.00,
2025-08-15,117398.35000000,,68665353159.00,
2025-08-14,118359.58000000,,104055627395.00,
2025-08-13,123344.06000000,,90904808795.00,
2025-08-12,120172.91000000,,72803657984.00,
2025-08-11,118731.45000000,,90528784177.00,
2025-08-10,119306.76000000,,64755458694.00,
2025-08-09,116500.36000000,,54004312429.00,
2025-08-08,116688.73000000,,59713005166.00,
2025-08-07,117496.90000000,,64051649681.00,
2025-08-06,115028.00000000,,56379133510.00,
2025-08-05,114141.45000000,,61039182286.00,
2025-08-04,115071.88000000,,35783028986.00,
2025-08-03,114217.67000000,,48099615826.00,
2025-08-02,112526.91000000,,56870866000.00,
2025-08-01,113320.09000000,,91294530181.00,
2025-07-31,115758.20000000,,69370346018.00,
2025-07-30,117831.19000000,,68896148592.00,
2025-07-29,117922.15000000,,68463107433.00,
2025-07-28,117924.48000000,,64822943193.00,
2025-07-27,119448.49000000,,54683390892.00,
2025-07-26,117947.37000000,,48508954046.00,
2025-07-25,117635.88000000,,104857024569.00,
2025-07-24,118368.00000000,,72627318560.00,
2025-07-23,118754.96000000,,66608604537.00,
2025-07-22,119995.41000000,,79217583118.00,
2025-07-21,117439.54000000,,69820091744.00,
2025-07-20,117300.79000000,,57515447231.00,
2025-07-19,117939.98000000,,47564562765.00,
2025-07-18,118003.23000000,,77945799785.00,
2025-07-17,119289.84000000,,72363841798.00,
2025-07-16,118738.51000000,,72162029070.00,
2025-07-15,117777.19000000,,98321661181.00,
2025-07-14,119849.70000000,,181746419401.00,
2025-07-13,119116.12000000,,49021091807.00,
2025-07-12,117435.23000000,,45524560304.00,
2025-07-11,117516.99000000,,86928361085.00,
2025-07-10,115987.20000000,,95911605728.00,
2025-07-09,111326.55000000,,57927418065.00,
2025-07-08,108950.27000000,,44282204127.00,
2025-07-07,108299.85000000,,45415696597.00,
2025-07-06,109232.07000000,,36746020463.00,
2025-07-05,108231.18000000,,30615537520.00,
2025-07-04,108034.34000000,,42616442656.00,
2025-07-03,109647.98000000,,50494742270.00,
2025-07-02,108859.32000000,,56248657737.00,
2025-07-01,105698.28000000,,44110692247.00,
2025-06-30,107135.34000000,,42064804590.00,
2025-06-29,108385.57000000,,35534874438.00,
2025-06-28,107327.70000000,,30037708335.00,
2025-06-27,107088.43000000,,45353692675.00,
2025-06-26,106960.00000000,,43891990613.00,
2025-06-25,107361.26000000,,51624120283.00,
2025-06-24,106045.63000000,,48822986421.00,
2025-06-23,105577.77000000,,65237759656.00,
2025-06-22,100987.14000000,,65536997201.00,
2025-06-21,102257.41000000,,38360555118.00,
2025-06-20,103309.60000000,,50951862476.00,
2025-06-19,104684.29000000,,37333806920.00,
2025-06-18,104883.33000000,,47318089133.00,
2025-06-17,104601.12000000,,55964092176.00,
2025-06-16,106796.76000000,,50366626945.00,
2025-06-15,105552.02000000,,36744307742.00,
2025-06-14,105472.41000000,,38007870453.00,
2025-06-13,106090.97000000,,69550440846.00,
2025-06-12,105929.05000000,,54843867968.00,
2025-06-11,108686.63000000,,50842662052.00,
2025-06-10,110257.23000000,,54700101509.00,
2025-06-09,110294.10000000,,55903193732.00,
2025-06-08,105793.65000000,,36626232328.00,
2025-06-07,105615.63000000,,38365033776.00,
2025-06-06,104390.34000000,,48856653697.00,
2025-06-05,101575.95000000,,57479298400.00,
2025-06-04,104731.98000000,,44544857105.00,
2025-06-03,105432.47000000,,46196508367.00,
2025-06-02,105881.53000000,,45819706290.00,
2025-06-01,105652.10000000,,37397056873.00,
2025-05-31,104638.09000000,,38997843858.00,
2025-05-30,103998.57000000,,57655287183.00,
2025-05-29,105641.76000000,,56022752042.00,
2025-05-28,107802.33000000,,49155377493.00,
2025-05-27,108994.64000000,,57450176272.00,
2025-05-26,109440.37000000,,45950461571.00,
2025-05-25,109035.39000000,,47518041841.00,
2025-05-24,107791.16000000,,45903627163.00,
2025-05-23,107287.80000000,,67548133399.00,
2025-05-22,111673.28000000,,70157575642.00,
2025-05-21,109678.08000000,,78086364051.00,
2025-05-20,106791.09000000,,36515726122.00,
2025-05-19,105606.18000000,,61761126647.00,
2025-05-18,106446.01000000,,49887082058.00,
2025-05-17,103191.09000000,,37898552742.00,
2025-05-16,103489.29000000,,44386499364.00,
2025-05-15,103744.64000000,,50408241840.00,
2025-05-14,103539.41000000,,45956071155.00,
2025-05-13,104169.81000000,,52608876410.00,
2025-05-12,102812.95000000,,63250475404.00,
2025-05-11,104106.36000000,,46285517406.00,
2025-05-10,104696.33000000,,42276713994.00,
2025-05-09,102970.85000000,,58198593958.00,
2025-05-08,103241.46000000,,69895404397.00,
2025-05-07,97032.32000000,,76983822462.00,
2025-05-06,96802.48000000,,26551275827.00,
2025-05-05,94748.05000000,,25816260327.00,
2025-05-04,94315.98000000,,18198688416.00,
2025-05-03,95891.80000000,,15775154889.00,
2025-05-02,96910.07000000,,26421924677.00,
2025-05-01,96492.34000000,,32875889623.00,
2025-04-30,94207.31000000,,28344679831.00,
2025-04-29,94284.79000000,,25806129921.00,
2025-04-28,94978.75000000,,32363449569.00,
2025-04-27,93754.84000000,,18090367764.00,
2025-04-26,94646.93000000,,17612825123.00,
2025-04-25,94720.50000000,,40915232364.00,
2025-04-24,93943.80000000,,31483175315.00,
2025-04-23,93699.11000000,,41719568821.00,
2025-04-22,93441.89000000,,55899038456.00,
2025-04-21,87518.91000000,,41396190190.00,
2025-04-20,85174.30000000,,14664050812.00,
2025-04-19,85063.41000000,,15259300427.00,
2025-04-18,84450.80000000,,12728372364.00,
2025-04-17,84895.75000000,,21276866029.00,
2025-04-16,84033.87000000,,29617804112.00,
2025-04-15,83668.99000000,,28040322885.00,
2025-04-14,84542.39000000,,34090769777.00,
2025-04-13,83684.98000000,,28796984817.00,
2025-04-12,85287.11000000,,24258059104.00,
2025-04-11,83404.84000000,,41656778779.00,
2025-04-10,79626.14000000,,44718000633.00,
2025-04-09,82573.95000000,,84213627038.00,
2025-04-08,76271.95000000,,48314590749.00,
2025-04-07,79235.34000000,,91262424987.00,
2025-04-06,78214.48000000,,36294853736.00,
2025-04-05,83504.80000000,,14380803631.00,
2025-04-04,83843.80000000,,45157640207.00,
2025-04-03,83102.83000000,,36852112080.00,
2025-04-02,82485.71000000,,47584398470.00,
2025-04-01,85169.17000000,,28175650319.00,
2025-03-31,82548.91000000,,29004228247.00,
2025-03-30,82334.52000000,,14763760943.00,
2025-03-29,82597.59000000,,16969396135.00,
2025-03-28,84353.15000000,,34198619509.00,
2025-03-27,87177.10000000,,24413471941.00,
2025-03-26,86900.88000000,,26704046038.00,
2025-03-25,87471.70000000,,30005840049.00,
2025-03-24,87498.91000000,,34582604933.00,
2025-03-23,86054.38000000,,12594615537.00,
2025-03-22,83832.48000000,,9863214091.00,
2025-03-21,84043.24000000,,19030452299.00,
2025-03-20,84167.20000000,,29028988961.00,
2025-03-19,86854.23000000,,34931960257.00,
2025-03-18,82718.50000000,,24095774594.00,
2025-03-17,84075.69000000,,25092785558.00,
2025-03-16,82579.69000000,,21330270174.00,
2025-03-15,84343.11000000,,13650491277.00,
2025-03-14,83969.10000000,,29588112414.00,
2025-03-13,81066.70000000,,31412940153.00,
2025-03-12,83722.36000000,,40353484454.00,
2025-03-11,82862.21000000,,54702837196.00,
2025-03-10,78532.00000000,,54061099422.00,
2025-03-09,80601.04000000,,30899345977.00,
2025-03-08,86154.59000000,,18206118081.00,
2025-03-07,86742.67000000,,65945677657.00,
2025-03-06,89961.73000000,,47749810486.00,
2025-03-05,90623.56000000,,50498988027.00,
2025-03-04,87222.20000000,,68095241474.00,
2025-03-03,86065.67000000,,70072228536.00,
2025-03-02,94248.35000000,,58398341092.00,
2025-03-01,86031.91000000,,29190628396.00,
2025-02-28,84373.01000000,,83610570576.00,
2025-02-27,84704.23000000,,52659591954.00,
2025-02-26,84347.02000000,,64597492134.00,
2025-02-25,88736.17000000,,92139104128.00,
2025-02-24,91418.17000000,,44046480529.00,
2025-02-23,96273.92000000,,16999478976.00,
2025-02-22,96577.76000000,,18353824477.00,
2025-02-21,96125.55000000,,49608706470.00,
2025-02-20,98333.94000000,,31668022771.00,
2025-02-19,96635.61000000,,28990872862.00,
2025-02-18,95539.55000000,,37325720482.00,
2025-02-17,95773.38000000,,27336550690.00,
2025-02-16,96175.03000000,,16536755396.00,
2025-02-15,97580.35000000,,17047266288.00,
2025-02-14,97508.97000000,,32697987277.00,
2025-02-13,96623.87000000,,37147280860.00,
2025-02-12,97885.86000000,,49340445530.00,
2025-02-11,95747.43000000,,37488783272.00,
2025-02-10,97437.55000000,,40078962391.00,
2025-02-09,96500.09000000,,27732901800.00,
2025-02-08,96482.45000000,,22447526395.00,
2025-02-07,96529.09000000,,55741290456.00,
2025-02-06,96593.30000000,,45302471947.00,
2025-02-05,96615.45000000,,49125911241.00,
2025-02-04,97871.82000000,,73002130211.00,
2025-02-03,101405.42000000,,115400897748.00,
2025-02-02,97688.98000000,,63091816853.00,
2025-02-01,100655.91000000,,27757944848.00,
